symbol,base_asset,price,volume_24h_usdt,price_change_24h,rsi_14,volume_category,momentum_score,volatility,ai_prediction,ai_confidence,risk_score,sector,ecosystem_score,volume_rank,momentum_rank,performance_rank
BTCUSDT,BTC,115150.01,2189917.9300952,0.673,0.0,mid_cap,6.407727839417904,0.006730000000000001,NEUTRAL,0.5,3.4485430401455246,layer1,7.5,1,4,142
XRPUSDT,XRP,3.0555,1812478.4692,5.228,0.0,mid_cap,6.781072856201282,0.05228,NEUTRAL,0.5,3.6968317859496795,general,6.0,2,2,55
ETHUSDT,ETH,3689.59,680135.101281,5.644,0.0,small_cap,6.396995189048894,0.056440000000000004,NEUTRAL,0.5,3.8240512027377767,layer1,7.5,3,5,47
DOGEUSDT,DOGE,0.2065,496925.21126,3.999,0.0,small_cap,6.096191031024755,0.03999,NEUTRAL,0.5,3.7758772422438107,meme,5.0,4,7,79
PENGUUSDT,PENGU,0.035815,420292.156526,2.675,0.0,small_cap,5.891051285296274,0.02675,NEUTRAL,0.5,3.727862178675932,general,6.0,5,8,111
SOLUSDT,SOL,167.13,253269.45452,3.345,0.0,small_cap,5.7380828150043905,0.03345,NEUTRAL,0.5,3.8163542962489023,layer1,7.5,6,9,94
BNBUSDT,BNB,764.66,186532.8265,1.955,0.0,small_cap,5.466255271068574,0.01955,NEUTRAL,0.5,3.7800611822328563,stablecoin,6.0,7,11,124
ADAUSDT,ADA,0.7496,176787.15558,3.579,0.0,small_cap,5.605350708282439,0.03579,NEUTRAL,0.5,3.86708732292939,layer1,7.5,8,10,86
LTCUSDT,LTC,119.29,172253.13798,9.773,0.0,small_cap,6.213467142306717,0.09773,NEUTRAL,0.5,4.179608214423321,general,6.0,9,6,15
BONKUSDT,BONK,2.668e-05,122254.44738105,3.091,0.0,small_cap,5.3963646668788225,0.030910000000000003,NEUTRAL,0.5,3.882733833280294,meme,5.0,10,13,103
HBARUSDT,HBAR,0.25252,121488.2175,1.638,0.0,small_cap,5.2483341600506765,0.01638,NEUTRAL,0.5,3.810766459987331,general,6.0,11,16,130
XLMUSDT,XLM,0.4152,86966.6937,4.769,0.0,micro_cap,5.416252959379704,0.04769,NEUTRAL,0.5,4.003611760155074,general,6.0,12,12,61
SUIUSDT,SUI,3.5638,79503.49663,3.677,0.0,micro_cap,5.268086229709549,0.03677,NEUTRAL,0.5,3.9587534425726125,general,6.0,13,15,83
FLOKIUSDT,FLOKI,0.00011088,61358.42222029,3.087,0.0,micro_cap,5.096574183570787,0.03087,NEUTRAL,0.5,3.9573814541073027,meme,5.0,14,17,104
ENAUSDT,ENA,0.602,42550.776805,1.689,0.0,micro_cap,4.797807492952818,0.016890000000000002,NEUTRAL,0.5,3.927223126761796,general,6.0,15,24,127
PEPEUSDT,PEPE,1.062e-05,39341.88076779,1.336,0.0,micro_cap,4.728455117849423,0.01336,NEUTRAL,0.5,3.9180862205376443,meme,5.0,16,28,135
SHIBUSDT,SHIB,1.238e-05,38605.80046934,1.809,0.0,micro_cap,4.767552561733174,0.01809,NEUTRAL,0.5,3.9437868595667065,meme,5.0,17,26,126
LINKUSDT,LINK,16.98,31511.7798,4.428,0.0,micro_cap,4.94127293302135,0.04428,NEUTRAL,0.5,4.096781766744662,general,6.0,18,19,67
AVAXUSDT,AVAX,22.58,30649.4125,3.294,0.0,micro_cap,4.815822154206685,0.03294,NEUTRAL,0.5,4.043094461448328,layer1,7.5,19,23,96
CRVUSDT,CRV,0.9518,28859.74276,3.12,0.0,micro_cap,4.772292455710684,0.031200000000000002,NEUTRAL,0.5,4.040926886072329,defi,8.0,20,25,101
HYPEUSDT,HYPE,38.75,28480.67061,-0.283,0.0,micro_cap,4.482850211046057,0.0028299999999999996,NEUTRAL,0.5,3.9005124472384853,general,6.0,21,33,168
XDCUSDT,XDC,0.096143,26509.179559,3.137,0.0,micro_cap,4.73709628682352,0.03137,NEUTRAL,0.5,4.05100092829412,general,6.0,22,27,100
BRETTUSDT,BRETT,0.056053,21903.164141,7.266,0.0,micro_cap,5.0671068577494776,0.07266,NEUTRAL,0.5,4.278173285562631,general,6.0,23,18,31
TRUMPUSDT,TRUMP,8.94,18078.68429,1.017,0.0,micro_cap,4.358866820697705,0.010169999999999998,NEUTRAL,0.5,3.986558294825574,general,6.0,24,39,137
WIFUSDT,WIF,0.923,17865.38215,2.784,0.0,micro_cap,4.530412310427135,0.027839999999999997,NEUTRAL,0.5,4.076196922393216,general,6.0,25,31,108
VETUSDT,VET,0.02345,17365.7349,0.991,0.0,micro_cap,4.338793166930474,0.00991,NEUTRAL,0.5,3.9896267082673815,general,6.0,26,41,138
ARBUSDT,ARB,0.4113,12988.02218,7.361,0.0,micro_cap,4.849643021611138,0.07361,NEUTRAL,0.5,4.339664244597215,general,6.0,27,22,30
MAGICUSDT,MAGIC,0.27,11239.0812,49.419,0.0,micro_cap,8.992630808912761,0.49418999999999996,NEUTRAL,0.5,6.45826729777181,gaming,8.5,28,1,1
BCHUSDT,BCH,565.6,11153.5334,4.124,0.0,micro_cap,4.459812472140132,0.04124,NEUTRAL,0.5,4.194346881964967,general,6.0,29,34,74
UNIUSDT,UNI,9.915,11027.46468,8.183,0.0,micro_cap,4.860775675445624,0.08183,NEUTRAL,0.5,4.398531081138595,defi,8.0,30,21,21
IOTAUSDT,IOTA,0.1908,11011.7009,3.303,0.0,micro_cap,4.372154406567673,0.03303,NEUTRAL,0.5,4.1546863983580815,general,6.0,31,36,95
PNUTUSDT,PNUT,0.2286,10581.78669,1.555,0.0,micro_cap,4.180059002679911,0.01555,NEUTRAL,0.5,4.071610249330022,general,6.0,32,48,133
THETAUSDT,THETA,0.787,8719.1763,5.073,0.0,nano_cap,4.447775459099827,0.050730000000000004,NEUTRAL,0.5,4.268531135225044,general,6.0,33,35,56
FETUSDT,FET,0.662,8277.8961,4.416,0.0,nano_cap,4.359519971052438,0.044160000000000005,NEUTRAL,0.5,4.24132000723689,ai,8.5,34,38,68
KDAUSDT,KDA,0.4141,8153.696663,1.995,0.0,nano_cap,4.110854550624146,0.019950000000000002,NEUTRAL,0.5,4.121911362343964,general,6.0,35,52,123
POLUSDT,POL,0.2091,7992.25241,3.515,0.0,nano_cap,4.254169191251354,0.03515,NEUTRAL,0.5,4.200082702187161,general,6.0,36,44,87
AAVEUSDT,AAVE,267.07,7914.08075,3.14,0.0,nano_cap,4.212400477203764,0.031400000000000004,NEUTRAL,0.5,4.182399880699059,defi,8.0,37,45,99
LRCUSDT,LRC,0.0852,6830.9687,3.398,0.0,nano_cap,4.17428229537017,0.03398,NEUTRAL,0.5,4.211279426157458,defi,8.0,38,49,90
ALGOUSDT,ALGO,0.2464,6494.3393,2.624,0.0,nano_cap,4.07493497481482,0.02624,NEUTRAL,0.5,4.178066256296295,layer1,7.5,39,54,112
1000REKTUSDT,1000REKT,0.00111917,6332.63432187,1.33,0.0,nano_cap,3.9345844104054613,0.013300000000000001,NEUTRAL,0.5,4.116103897398634,general,6.0,40,62,136
ACHUSDT,ACH,0.02129,5438.1389,5.868,0.0,nano_cap,4.322250296067432,0.05868,NEUTRAL,0.5,4.359537425983142,general,6.0,41,43,43
ONDOUSDT,ONDO,0.9993,5392.11655,8.407,0.0,nano_cap,4.5724592708556795,0.08407,NEUTRAL,0.5,4.48741018228608,general,6.0,42,29,19
IMXUSDT,IMX,0.516,5094.32144,4.032,0.0,nano_cap,4.110286344478001,0.04032,NEUTRAL,0.5,4.2748284138805,general,6.0,43,53,78
NEARUSDT,NEAR,2.536,4745.0541,3.637,0.0,nano_cap,4.039941168332865,0.03637,NEUTRAL,0.5,4.262789707916784,layer1,7.5,44,57,85
ATOMUSDT,ATOM,4.27,4739.586,2.104,0.0,nano_cap,3.886140407967777,0.02104,NEUTRAL,0.5,4.186264898008056,layer1,7.5,45,65,120
RENDERUSDT,RENDER,3.67,4560.82215,3.177,0.0,nano_cap,3.9767431371873174,0.03177,NEUTRAL,0.5,4.244089215703171,ai,8.5,46,60,97
ZECUSDT,ZEC,38.02,4341.88738,9.096,0.0,nano_cap,4.547278554521703,0.09096,NEUTRAL,0.5,4.545380361369574,general,6.0,47,30,16
NEOUSDT,NEO,6.13,4337.7009,5.69,0.0,nano_cap,4.206259602551876,0.056900000000000006,NEUTRAL,0.5,4.375185099362032,general,6.0,48,47,45
VIRTUALUSDT,VIRTUAL,1.26,4192.88382,2.439,0.0,nano_cap,3.866412828768475,0.024390000000000002,NEUTRAL,0.5,4.216321792807881,general,6.0,49,68,117
TURBOUSDT,TURBO,0.004411,4154.617014,1.659,0.0,nano_cap,3.784430995298813,0.01659,NEUTRAL,0.5,4.178317251175297,general,6.0,50,72,129
LTOUSDT,LTO,0.0147,3868.973,-7.547,0.0,nano_cap,4.342295698966029,0.07547,NEUTRAL,0.5,4.480451075258492,general,6.0,51,40,177
DGBUSDT,DGB,0.00849,3204.482078,2.536,0.0,nano_cap,3.7593578470084084,0.02536,NEUTRAL,0.5,4.250360538247898,general,6.0,52,73,114
MKRUSDT,MKR,1974.6,3168.94547,4.592,0.0,nano_cap,3.96011476608148,0.045919999999999996,NEUTRAL,0.5,4.35437130847963,defi,8.0,53,61,62
XTZUSDT,XTZ,0.7915,3070.25792,4.254,0.0,nano_cap,3.912574860339646,0.042539999999999994,NEUTRAL,0.5,4.340906284915088,general,6.0,54,63,71
ONEUSDT,ONE,0.01078,3043.113717,3.158,0.0,nano_cap,3.7991181816525583,0.03158,NEUTRAL,0.5,4.2870704545868605,general,6.0,55,71,98
RVNUSDT,RVN,0.01365,2956.249101,1.562,0.0,nano_cap,3.6269410260122728,0.01562,NEUTRAL,0.5,4.210414743496932,general,6.0,56,79,132
AXLUSDT,AXL,0.36,2905.2274,6.509,0.0,nano_cap,4.11408013145958,0.06509000000000001,NEUTRAL,0.5,4.459654967135105,general,6.0,57,51,37
LPTUSDT,LPT,6.379,2783.67314,4.062,0.0,nano_cap,3.850818238902552,0.04062,NEUTRAL,0.5,4.341945440274362,general,6.0,58,69,76
VTHOUSDT,VTHO,0.001905,2658.794491,2.751,0.0,nano_cap,3.6997847702484927,0.02751,NEUTRAL,0.5,4.281378807437877,general,6.0,59,77,109
SLPUSDT,SLP,0.001788,2549.790398,4.257,0.0,nano_cap,3.8322044813228375,0.04257,NEUTRAL,0.5,4.361223879669291,general,6.0,60,70,70
QTUMUSDT,QTUM,1.952,2050.7427,-5.609,0.0,nano_cap,3.8728111742737905,0.05609,NEUTRAL,0.5,4.452472206431553,general,6.0,61,67,176
APTUSDT,APT,4.358,1980.3032,2.807,0.0,nano_cap,3.5774316892544213,0.028069999999999998,NEUTRAL,0.5,4.316167077686394,general,6.0,62,82,107
SPXUSDT,SPX,1.7188,1903.92325,5.955,0.0,nano_cap,3.875149437339784,0.05955,NEUTRAL,0.5,4.4778376406650535,general,6.0,63,66,41
DOTUSDT,DOT,3.718,1799.61119,2.878,0.0,nano_cap,3.542978684949266,0.02878,NEUTRAL,0.5,4.330105328762684,layer1,7.5,64,83,106
BATUSDT,BAT,0.1556,1786.6035,8.659,0.0,nano_cap,4.117928180447143,0.08659,NEUTRAL,0.5,4.619942954888215,general,6.0,65,50,18
ICPUSDT,ICP,5.233,1679.07981,4.933,0.0,nano_cap,3.7183713395084084,0.04933,NEUTRAL,0.5,4.440382165122898,general,6.0,66,75,59
1000MOGUSDT,1000MOG,0.00128965,1587.99029563,7.801,0.0,nano_cap,3.980947844081494,0.07801,NEUTRAL,0.5,4.589838038979627,general,6.0,67,59,25
MANAUSDT,MANA,0.2844,1503.5352,5.607,0.0,nano_cap,3.7378136000366786,0.05607,NEUTRAL,0.5,4.486071599990831,gaming,7.0,68,74,48
ONTUSDT,ONT,0.1372,1473.6566,3.391,0.0,nano_cap,3.507496293495836,0.03391,NEUTRAL,0.5,4.377450926626041,general,6.0,69,85,92
ETCUSDT,ETC,20.74,1472.0359,5.386,0.0,nano_cap,3.706518401701059,0.05386,NEUTRAL,0.5,4.477320399574736,general,6.0,70,76,52
FILUSDT,FIL,2.402,1418.66191,2.606,0.0,nano_cap,3.4124789084130427,0.02606,NEUTRAL,0.5,4.3423302728967395,general,6.0,71,91,113
KSMUSDT,KSM,14.69,1340.9256,8.815,0.0,nano_cap,4.008904682097815,0.08814999999999999,NEUTRAL,0.5,4.658898829475547,general,6.0,72,58,17
XNOUSDT,XNO,0.889,1334.99583,2.067,0.0,nano_cap,3.332179909138184,0.02067,NEUTRAL,0.5,4.3219800227154535,general,6.0,73,92,122
TUSDT,T,0.01718,1327.467157,3.432,0.0,nano_cap,3.4662237849624593,0.034319999999999996,NEUTRAL,0.5,4.390844053759385,general,6.0,74,87,89
OPUSDT,OP,0.704,1302.78007,7.81,0.0,nano_cap,3.895871106083171,0.0781,NEUTRAL,0.5,4.611782223479207,general,6.0,75,64,24
COMPUSDT,COMP,45.74,1294.15335,2.075,0.0,nano_cap,3.3194857408711935,0.02075,NEUTRAL,0.5,4.325753564782201,defi,8.0,76,95,121
TFUELUSDT,TFUEL,0.03653,1262.79246,0.055,0.0,nano_cap,3.1068319801015787,0.00055,NEUTRAL,0.5,4.227417004974606,general,6.0,77,112,150
JAMUSDT,JAM,0.000101,1261.998981,4.124,0.0,nano_cap,3.5134590042375486,0.04124,NEUTRAL,0.5,4.430935248940613,general,6.0,78,84,75
JUPUSDT,JUP,0.487,1080.82057,3.993,0.0,nano_cap,3.4330536015140507,0.03993,NEUTRAL,0.5,4.441211599621488,general,6.0,79,89,80
QNTUSDT,QNT,113.62,1049.50745,-1.44,0.0,nano_cap,3.1649855257982735,0.0144,NEUTRAL,0.5,4.316753618550432,general,6.0,80,107,170
FARTCOINUSDT,FARTCOIN,0.98,1003.92323,-4.334,0.0,nano_cap,3.435100503583773,0.04334,NEUTRAL,0.5,4.466274874104057,general,6.0,81,88,174
GALAUSDT,GALA,0.01589,1003.15805,5.933,0.0,nano_cap,3.59466936256714,0.05933,NEUTRAL,0.5,4.546307659358215,gaming,7.0,82,81,42
ZILUSDT,ZIL,0.01097,990.293186,3.102,0.0,nano_cap,3.3059637907708854,0.03102,NEUTRAL,0.5,4.406159052307278,general,6.0,83,97,102
DASHUSDT,DASH,21.16,977.01443,4.391,0.0,nano_cap,3.4290009780719917,0.04391,NEUTRAL,0.5,4.472074755482002,general,6.0,84,90,69
FLUXUSDT,FLUX,0.2243,947.726331,3.364,0.0,nano_cap,3.313082946942364,0.033639999999999996,NEUTRAL,0.5,4.4240292632644085,general,6.0,85,96,93
SANDUSDT,SAND,0.2771,924.685,6.7,0.0,nano_cap,3.635993812673592,0.067,NEUTRAL,0.5,4.593501546831602,gaming,7.0,86,78,35
DATAUSDT,DATA,0.01751,887.701921,-12.625,0.0,nano_cap,4.210767159700952,0.12625,NEUTRAL,0.5,4.894183210074761,general,6.0,87,46,179
COTIUSDT,COTI,0.05582,882.62481,5.321,0.0,nano_cap,3.477876131013573,0.05321,NEUTRAL,0.5,4.5296059672466065,general,6.0,88,86,53
DIAUSDT,DIA,0.7957,842.2542,0.416,0.0,nano_cap,2.967043185319262,0.00416,NEUTRAL,0.5,4.289439203670185,general,6.0,89,120,145
DAIUSDT,DAI,0.9897,791.854068,-3.547,0.0,nano_cap,3.253345152167853,0.03547,NEUTRAL,0.5,4.452688711958037,stablecoin,6.0,90,102,173
NEIROUSDT,NEIRO,0.00040397,764.82220974,2.338,0.0,nano_cap,3.1173604909671493,0.02338,NEUTRAL,0.5,4.396009877258213,general,6.0,91,110,118
