symbol,opportunity_score,price_change_24h,volume_category,current_price,quote_volume_24h,rsi,volatility
EGLDUSDT,55,-0.73,nano_cap,13.62,944.2096,50.0,2.12
BCHUSDT,45,-3.67,nano_cap,519.8,7881.7135,28.57,0.83
CHZUSDT,45,-3.33,nano_cap,0.03624,98.79024,0.0,1.43
CTSIUSDT,45,-2.43,nano_cap,0.0602,270.2781,29.73,1.12
KNCUSDT,44.95,-1.87,nano_cap,0.4047,740.02386,43.28,2.45
LOKAUSDT,44.34,66.67,nano_cap,0.25,2231.3484,50.03,10.66
ONDOUSDT,43.25,-13.41,nano_cap,0.8659,9285.50978,0.07,1.72
ENJUSDT,41.56,-1.34,nano_cap,0.0812,1355.13641,45.52,3.37
MAGICUSDT,41,-13.08,micro_cap,0.1642,13730.28579,29.76,2.56
XRPUSDT,40.21,-6.6,mid_cap,2.783,3094447.16573,25.59,0.8
ACHUSDT,40,-6.09,nano_cap,0.01944,1734.67732,0.0,2.01
EOSUSDT,40,-3.1,nano_cap,0.4622,700.41836,0.0,2.37
GLMUSDT,40,-3.07,nano_cap,0.2336,78.85793,0.0,2.16
JAMUSDT,40,-3.96,nano_cap,9.7e-05,289.1278,20.0,2.97
LOOMUSDT,40,-3.11,nano_cap,0.00156,1026.98975,0.0,2.86
POLYXUSDT,40,-12.62,nano_cap,0.1281,1145.80244,0.0,3.07
ZENUSDT,40,-3.47,nano_cap,7.23,2104.0433,0.0,2.15
1000REKTUSDT,39.44,4.22,micro_cap,0.00102717,18839.70507302,67.32,2.32
ADXUSDT,38.64,1.82,nano_cap,0.123,8.7763,100.0,3.91
COMPUSDT,38.07,1.53,nano_cap,44.33,704.39994,65.45,1.23
LAYERUSDT,37.21,-5.36,micro_cap,0.5773,10835.058589,0.0,1.72
LRCUSDT,36.37,6.37,nano_cap,0.0802,488.9965,53.62,1.87
ENAUSDT,36,-10.43,micro_cap,0.5171,11892.652166,35.09,2.48
SPXUSDT,36,-22.81,micro_cap,1.513,12128.62934,46.94,2.37
OGNUSDT,35.62,5.62,nano_cap,0.0526,308.2173,0.0,2.81
